to_extension,from_operator,to_number,from_country,call_duration,to_country,from_number,call_charge,to_operator,call_date,cdr_id
,Airtel,+260857606067262,Zambia,0.116801013780449,Zambia,+26021620497732,1.37676293506559,MTN Group,2015-03-19T15:39:50,75412
,Vodafone,+61282570374257,Australia,1.26835749708551,Australia,+61101271601500,0.150685113590526,Vodafone,2016-07-26T17:07:39,75415
,Telefónica,+507209887857418,Panama,0.0670329845752697,Panama,+50738429787275,0.402884430674973,América Móvil,2016-10-19T21:07:29,75419
x8382654,Airtel,+245412463874562,Guinea-Bissau,0.681622104748547,Guinea-Bissau,+245622157046248,0.678247723383167,MTN Group,2015-01-05T18:22:30,75428
,América Móvil,+50436722465872,Honduras,3.20730414453012,Honduras,+504768912147917,0.833001649491255,América Móvil,2015-07-23T04:05:36,75430
,Airtel,+242296073314168,Republic of the Congo,0.754587650418582,Republic of the Congo,+242104440428127,0.319805407693184,MTN Group,2016-11-24T11:09:40,75435
,MTN Group,+237779229066340,Cameroon,0.89634781586408,Cameroon,+237766902875501,0.836231564536778,Orange,2015-09-16T10:01:58,75466
x8573584,América Móvil,+506926189277995,Costa Rica,0.791165895913701,Costa Rica,+506759328579728,0.182359413472829,América Móvil,2015-04-22T20:31:25,75471
x4467415,MTN Group,+268500978870119,Swaziland,0.999777195027553,Swaziland,+268544851020070,0.550146887038696,MTN Group,2016-01-27T20:50:34,75477
,MTN Group,+267820856586773,Botswana,0.231915153613749,Botswana,+2674470037643,0.2540900821671,MTN Group,2016-10-04T20:09:54,75487
,Airtel,+260742571471398,Zambia,0.986649141416111,Zambia,+260908311166593,0.136740428991708,Airtel,2016-07-28T13:57:03,75508
,Airtel,+245515713773300,Guinea-Bissau,0.787785453377078,Guinea-Bissau,+245605905913543,0.81725304037202,Airtel,2016-07-17T05:27:29,75512
,Deutsche Telekom,+1787608830565642,Puerto Rico,0.130176672151172,Puerto Rico,+1787344331984379,1.60578394192883,América Móvil,2015-08-16T22:01:42,75515
,Vodafone,+39421954427446,Italy,3.33579255937107,Italy,+39117131259598,2.60162691632447,Veon,2015-07-03T15:07:20,75528
,Orange,+236431906611942,Central African Republic,0.571050427548357,Central African Republic,+236980667163569,0.727310806209271,Orange,2015-11-14T13:56:37,75530
x6251996,Vodafone,+355286362956540,Albania,0.396267933879459,Albania,+355667645141177,0.830155420494882,Deutsche Telekom,2015-06-28T00:55:17,75532
,Airtel,+229198856179412,Benin,2.55214556959304,Benin,+229192742873548,1.87745146015976,Airtel,2015-06-12T21:21:15,75533
,MTS,+375644560555351,Belarus,0.266403945585224,Belarus,+375700107893563,0.383088978529114,MTS,2015-10-19T17:04:16,75536
,Deutsche Telekom,+49308728174480,Germany,0.0394850232019604,Germany,+49501188820177,0.212599607029498,Vodafone,2016-09-04T11:44:45,75538
,China Mobile,+85264168519282,Hong Kong,4.05781060857541,Hong Kong,+852638315378254,0.2354819037264,CK Hutchison,2016-08-17T00:44:50,75540
,Ooredoo,+960118058350675,Maldives,1.53760631799051,Maldives,+960378150632692,1.50088511097075,Ooredoo,2015-06-23T16:05:19,75545
,Vodafone,+30911168472266,Greece,0.375022340602705,Greece,+3025197642430,0.42408864369963,Deutsche Telekom,2016-08-25T09:03:28,75556
,Vodafone,+39957015591313,Italy,0.564801574681005,Italy,+39714821840670,0.22793129433515,TIM,2015-10-08T13:13:01,75559
,MTN Group,+224589346078377,Guinea,2.7807370351606,Guinea,+224178013600628,0.175684730461893,MTN Group,2016-09-12T04:53:21,75560
x4442836,Airtel,+265638752337602,Malawi,0.0557418431145685,Malawi,+265293869696202,2.67128114287927,Airtel,2015-09-13T13:00:13,75565
,Vodafone,+3067241737211,Greece,0.114553529543226,Greece,+30419592592339,0.155678405624949,Deutsche Telekom,2015-11-19T18:27:01,75570
,Telefónica,+4983872650688,Germany,0.25455038572752,Germany,+49336423627913,2.1372245300216,Telefónica,2016-05-24T22:05:50,75593
,América Móvil,+43390093768913,Austria,0.0737988363166543,Austria,nan,1.91035627667465,Deutsche Telekom,2016-04-29T20:05:28,75595
,Ooredoo,+213955546126299,Algeria,2.92316562313034,Algeria,+213219562383651,1.50993962738326,Veon,2015-04-23T22:05:08,75600
,Veon,+263593705122482,Zimbabwe,0.123709515462828,Zimbabwe,+263419569775048,0.510449583233435,Veon,2015-04-19T17:04:38,75608
,Orange,+237488536745184,Cameroon,3.92161473570606,Cameroon,+237713244981034,1.86841654135746,MTN Group,2015-01-19T13:37:20,75615
,MTN Group,+237680118341816,Cameroon,1.67674047562481,Cameroon,+23731387553091,1.61339053663148,MTN Group,2015-10-04T15:14:25,75619
,Telefónica,+49389482007320,Germany,0.110784386150398,Germany,+49189796769981,0.81712068372899,Vodafone,2015-06-24T05:51:50,75631
,Vodafone,+64588403707060,New Zealand,3.33665984412071,New Zealand,+64181051649663,2.19464667955693,Vodafone,2015-07-18T23:41:05,75635
,Airtel,+265488851324484,Malawi,0.445771557199705,Malawi,+2653991168571,0.101505119190058,Airtel,2015-06-02T07:50:02,75641
,,+30759458844087,Greece,0.69607507056241,Greece,,2.31910734204203,Vodafone,2015-09-10T05:09:45,97955
x5177109,Vodafone,+353280780756953,Ireland,1.04813980998306,Ireland,+353524071905097,0.419633880117496,Vodafone,2015-07-24T12:28:00,75645
,América Móvil,+595891139928168,Paraguay,0.709065717580054,Paraguay,+595129569698444,0.512758620181784,América Móvil,2015-07-13T01:51:40,75653
,Deutsche Telekom,+389299112993441,Macedonia,1.57542103786499,Macedonia,+38945728216483,1.46558241494951,Deutsche Telekom,2016-05-12T10:05:04,75662
x5356384,Airtel,+250330196439333,Rwanda,1.06669404038408,Rwanda,+250237969191992,0.346872161667714,Airtel,2016-02-08T03:31:04,75673
x8996565,Airtel,+224273610047556,Guinea,1.31484551680114,Guinea,+224701981727012,0.171262482219493,Orange,2015-05-03T20:06:56,75685
x6529989,Deutsche Telekom,+49721015486820,Germany,1.83949521499701,Germany,+49473251516213,3.34603011054815,Telefónica,2016-07-22T11:31:45,75686
x6921771,Etisalat,+228937971774212,Togo,4.09552975031458,Togo,+228795851043932,2.24944647721939,Etisalat,2016-10-06T04:22:43,75713
,Orange,+256856612432333,Uganda,0.365431054718577,Uganda,+256472878835673,1.00358513915261,Airtel,2016-11-16T12:29:25,75715
x5271384,Ooredoo,+960476343155084,Maldives,1.73841927296942,Maldives,+960246302458820,2.09198265183207,Ooredoo,2016-02-06T11:09:56,75720
,Airtel,+224263818374127,Guinea,2.17837137736546,Guinea,+224785328419031,0.931360199086532,Airtel,2015-07-26T14:19:02,75721
,Airtel,+231813646833099,Liberia,1.14047594776608,Liberia,+23192936565286,0.943199540630101,MTN Group,2015-04-23T17:05:13,75751
,Airtel,+255277917367910,Tanzania,0.259111264911348,Tanzania,+255864355165462,0.193700435794414,Airtel,2015-11-16T07:10:19,75759
,Orange,+3328878186058,France,0.729698137774746,France,+33210196289307,2.48149574787048,Orange,2016-06-02T11:32:39,75763
,Etisalat,+228807210571118,Togo,1.61675241987586,Togo,+228894070860534,0.508747704120265,Etisalat,2015-11-24T23:57:04,75773
,MegaFon,+992126029631051,Tajikistan,1.91302017191445,Tajikistan,+992823887932910,0.590214112748918,Veon,2016-06-16T04:45:51,75781
,,+44916718833997,Jersey,0.74230040734457,Jersey,,2.29704598833705,Airtel,2015-07-29T06:30:27,201780
x9914105,Orange,+224739854487430,Guinea,1.0845966935428,Guinea,+224128776155191,0.506158921802593,Airtel,2016-05-02T19:39:38,75800
,Telefónica,+39305157834404,Italy,0.682996098553111,Italy,+39873239463654,0.845132967122393,Telefónica,2016-10-17T10:32:34,75825
,AT&T Mobility,+1787258030032332,Puerto Rico,3.15427012979364,Puerto Rico,+1787963393492114,0.185633647569967,Sprint Corporation,2015-02-01T15:11:32,75842
x6586662,Airtel,+265780476648608,Malawi,0.484695111763153,Malawi,+265756037117754,0.893954899240653,Airtel,2016-03-14T10:02:54,75847
,Deutsche Telekom,+1787388639120783,Puerto Rico,0.0862727870920454,Puerto Rico,+178797765557953,0.590432247983972,Deutsche Telekom,2015-09-15T15:33:01,75849
,Vodafone,+35667036698942,Malta,0.425758622058737,Malta,+356381149331595,3.31626448928363,Vodafone,2016-07-12T19:04:09,75851
,América Móvil,+506456961053191,Costa Rica,0.512602006535354,Costa Rica,+506981715670434,1.75096793272487,América Móvil,2015-05-11T22:38:56,75853
,Airtel,+232256334231376,Sierra Leone,0.546193687199975,Sierra Leone,+232616225021559,3.25449911254335,Airtel,2016-06-07T23:30:54,75864
,Orange,+256409827530873,Uganda,0.529077027342608,Uganda,+256971327176208,0.116960917115138,MTN Group,2015-06-05T01:58:16,75878
x7365214,Orange,+373560524486059,Moldova,0.628749656836858,Moldova,+373770236636899,1.06652347417494,Telia Company,2015-09-25T10:01:20,75897
,Veon,+998947110216566,Uzbekistan,0.369039655013857,Uzbekistan,+998676170064170,0.650142227004045,Veon,2015-03-28T12:05:39,75920
,Vodafone,+49106326887115,Germany,0.571137934450778,Germany,+49204538531626,0.429827420010308,Vodafone,2015-10-08T14:40:16,75925
,Veon,+26387337239828,Zimbabwe,0.588912437344466,Zimbabwe,+263505933180028,1.11410780084449,Veon,2016-06-22T14:47:48,75932
x6689144,Airtel,+267222488132652,Botswana,1.35078113190621,Botswana,+267309220657587,0.337978688536207,Orange,2016-09-20T03:58:47,75933
,Orange,+32238391751653,Belgium,0.65966041189171,Belgium,+32722056955005,0.313415283472074,Orange,2015-05-14T16:45:10,75938
,MTS,+993939688185092,Turkmenistan,0.0187790745748646,Turkmenistan,+993378788187464,0.272195277868555,MTS,2016-09-13T07:34:44,75947
x3739508,Vodafone,+233242819962454,Ghana,1.61816230768296,Ghana,\+233871953944096\,0.306261558625489,Airtel,2016-08-20T23:54:49,75958
x2053862,Axiata,+855595015605329,Cambodia,1.01793626015575,Cambodia,+855916878296510,0.2054957359588,Axiata,2015-11-07T18:55:42,75962
,Orange,+352497355693656,Luxembourg,0.477500872352101,Luxembourg,+352468582841517,0.646438959077435,Orange,2016-09-13T16:20:21,75989
,Etisalat,+227204006025314,Niger,1.08148827915403,Niger,+227472539421249,0.137195963832131,Orange,2015-10-06T19:04:44,75990
x1606483,Ooredoo,+213910160461027,Algeria,0.609265359229998,Algeria,+213510546838364,1.33216294795357,Veon,2016-11-03T21:39:12,76012
,Airtel,+4413163900353,Jersey,0.307696661506566,Jersey,+44725479483446,5.82305850475447,Airtel,2016-02-15T18:06:20,76046
,Veon,+995141260018341,Georgia,1.12247218023454,Georgia,+995292951933934,0.601830818397364,Veon,2016-07-05T11:23:21,76062
x2910408,Vodafone,+351439405324561,Portugal,0.483799280823895,Portugal,+35117601839743,1.17528411328932,Vodafone,2015-04-10T13:23:52,76069
,Vodafone,+35392178777440,Ireland,4.14080627689256,Ireland,+353289450991728,0.402171052793358,CK Hutchison,2016-05-08T05:01:51,76070
,Vodafone,+61924042937571,Australia,0.0679848258017222,Australia,+6134085760641,0.360658262074485,Vodafone,2016-10-11T17:56:04,76072
,China Mobile,+852754002947544,Hong Kong,0.583749374880218,Hong Kong,+852936597149767,0.474400317450633,China Mobile,2015-11-05T04:44:52,76076
,Deutsche Telekom,+385350542332264,Croatia,2.69034803206516,Croatia,+385419120381163,0.843426866512091,Deutsche Telekom,2015-03-09T23:09:58,76078
,MTS,+375564023867370,Belarus,0.301871104502986,Belarus,+375748850174174,3.71922880942051,MTS,2015-03-16T12:18:54,76081
,MTN Group,+256600238234735,Uganda,5.32581141701508,Uganda,+256742849884743,0.280056119850041,MTN Group,2016-01-01T18:53:11,76104
,Telenor,+38257185434842,Montenegro,1.63338859553702,Montenegro,+382967432614624,1.5791877121476,Deutsche Telekom,2015-10-24T15:36:31,76122
,América Móvil,+43422679436810,Austria,0.706614650136899,Austria,+43928613273446,1.71018956170953,Deutsche Telekom,2015-11-12T18:14:42,76125
,MTS,+375171117528778,Belarus,0.415492613203535,Belarus,+37525982524185,0.209646868390589,Telia Company,2015-02-08T14:22:49,76150
,Veon,+995757304681001,Georgia,1.59178925654238,Georgia,+995313281776026,0.355638220765352,Veon,2015-02-05T09:24:38,76165
,Orange,+225311982976663,Ivory Coast,0.424034660023171,Ivory Coast,+225783111265016,0.997418410516109,Orange,2015-04-12T01:52:23,76166
,Airtel,+265124956887376,Malawi,1.61663463873465,Malawi,+265328626226372,0.48384605108782,Airtel,2015-04-10T22:15:32,76167
,Orange,+32515516272634,Belgium,0.0663528817528445,Belgium,+32770696619252,0.209207550426682,Orange,2016-11-23T13:09:19,76176
,Airtel,+242241509824748,Republic of the Congo,0.434538533023329,Republic of the Congo,+242755591602265,0.232100696177781,Airtel,2015-08-16T16:08:38,76180
,China Mobile,+852697046845574,Hong Kong,0.223962649855897,Hong Kong,+852292350234434,0.121684746547425,China Mobile,2015-06-21T05:59:54,76182
x8099234,Veon,+213851107901774,Algeria,0.851992552341364,Algeria,+213382659222583,0.122573161929541,Veon,2016-01-07T16:05:13,76199
,Airtel,+245328399926353,Guinea-Bissau,0.154588807702849,Guinea-Bissau,+245929245651425,4.47364523720191,Airtel,2016-04-03T23:24:50,76212
x9972896,MTN Group,+268127574967168,Swaziland,1.825815336851,Swaziland,+268474408942712,0.360448177560864,MTN Group,2016-04-02T04:39:27,76227
x8336639,Vodafone,+49141249837806,Germany,1.11181776009815,Germany,+49825003124174,3.25161178198636,Deutsche Telekom,2015-09-16T20:37:56,76229
,MTN Group,+267761920574703,Botswana,0.811008419829141,Botswana,+267860483092389,0.670071470079097,Airtel,2016-11-06T02:45:17,76235
,MTS,+998952272228072,Uzbekistan,0.208611612546226,Uzbekistan,+99871599004580,0.536196311309915,Veon,2015-09-22T09:43:47,76255
,Airtel,+250528278737188,Rwanda,0.0298476162728094,Rwanda,+250191495831070,1.28937134555108,Airtel,2016-09-05T09:14:20,76305
,Airtel,+260352366713335,Zambia,0.0206567751641231,Zambia,+260774232247549,2.13728439468918,MTN Group,2016-11-21T19:20:52,76313
,MTN Group,+242567924756844,Republic of the Congo,0.115094250655273,Republic of the Congo,+242265984111037,0.418225678615469,Airtel,2015-09-05T04:42:15,76316
x3436171,Airtel,+227960016256118,Niger,1.00397323670721,Niger,+227315380958969,2.48546566354191,Etisalat,2016-10-13T15:15:01,76321
,Airtel,+255702572818698,Tanzania,0.0205988275171249,Tanzania,+255510138831679,0.222298193571671,Etisalat,2015-11-16T06:18:09,76329
,Veon,+263471699220461,Zimbabwe,1.11912996985528,Zimbabwe,+263311854590986,0.699340089850469,Veon,2015-06-05T09:35:01,76335
,Orange,+26150114662907,Madagascar,0.185085185110565,Madagascar,+2618596255242,1.13726954589148,Orange,2015-02-18T18:23:50,76353
,Orange,+227293571394967,Niger,2.31645394626087,Niger,+227396676345563,2.04066472998283,Orange,2015-04-27T19:42:33,76355
,Veon,+996845838282635,Kyrgyzstan,0.122135649320588,Kyrgyzstan,+996482893090850,1.12384142883884,Veon,2015-05-22T13:53:16,76362
x7042057,Airtel,+93478460607714,Afghanistan,0.75179632561938,Afghanistan,+93548409734169,1.75665804053902,MTN Group,2016-05-15T01:35:00,76364
x6212864,América Móvil,+503624564091082,El Salvador,0.0273372311568074,El Salvador,+503585495011716,3.47131659549285,América Móvil,2016-09-14T19:36:33,76365
,Telia Company,+76521543605643,Kazakhstan,0.0573195866252636,Kazakhstan,+76521477881615,0.587420426524249,Veon,2015-07-07T15:08:40,76383
,Telefónica,+506687592286341,Costa Rica,2.95588759178135,Costa Rica,nan,1.19896237989108,América Móvil,2015-08-25T19:47:09,76387
,Airtel,+245346823724797,Guinea-Bissau,0.895803561905253,Guinea-Bissau,+245397343261775,0.934467470444296,Airtel,2015-04-11T23:27:26,76388
,Airtel,+224421545355625,Guinea,0.475461933248593,Guinea,+22476778964332,0.556534684512198,MTN Group,2015-09-16T00:56:03,76389
x4427451,Airtel,+242756323905725,Republic of the Congo,1.66522512446002,Republic of the Congo,+242354591019780,1.12495814478388,Airtel,2016-10-02T07:42:19,76411
x6894103,Orange,+32815770634679,Belgium,0.804052852254656,Belgium,+32306040125611,1.26573937800812,Orange,2016-02-09T14:46:09,76433
x8127322,Ooredoo,+95458646209279,Myanmar,1.76521816158149,Myanmar,+95479749350611,0.13384461897926,Telenor,2016-07-20T00:14:46,76440
x1691191,América Móvil,+507393356612399,Panama,1.40059211955118,Panama,+507202832926493,0.543319599792748,Telefónica,2015-07-07T14:45:04,76453
x2881069,Airtel,+250878538909245,Rwanda,1.31818001608497,Rwanda,+250653314162340,1.16693210812609,MTN Group,2015-07-23T12:12:18,76488
x4459638,América Móvil,+504959451127466,Honduras,2.35036450258356,Honduras,+504482290047654,1.19320673121223,América Móvil,2016-09-21T18:47:09,76495
x4497229,Telenor,+45826683495068,Denmark,0.320628444029764,Denmark,+45157222471170,0.750688408040171,Telenor,2015-01-01T00:48:03,76529
,Airtel,+261979545762620,Madagascar,2.83764138926652,Madagascar,+261901404183043,0.404328668230651,Orange,2015-04-29T00:51:17,76548
x4219801,Vodafone,+353878444181315,Ireland,0.17706118364773,Ireland,+353978526260733,0.862666759306177,Vodafone,2015-08-27T06:51:49,76549
,Veon,+995833990157882,Georgia,0.366885080884548,Georgia,+995526861166831,0.815180850484286,Veon,2016-01-22T21:06:20,76552
,Veon,+213255513403983,Algeria,0.186482567324929,Algeria,+213780244387189,2.11582848756215,Veon,2016-09-02T23:30:08,76559
,Telenor,+381422711939942,Serbia,0.281219939480642,Serbia,+381327956380048,0.121056741905722,Telenor,2016-02-04T02:02:17,76560
,Orange,+240409411003432,Equatorial Guinea,1.39899256394155,Equatorial Guinea,+240951765296440,0.613672147269808,Orange,2016-10-16T02:18:23,76566
,Airtel,+93686416997046,Afghanistan,0.441838315986986,Afghanistan,+93506384444869,0.548389220669793,Airtel,2016-10-23T21:04:38,76594
,Deutsche Telekom,+49814842838387,Germany,0.195629030054009,Germany,+49325480727233,0.199871917620793,Deutsche Telekom,2016-04-12T23:35:17,76611
x2227735,Etisalat,+93390381513379,Afghanistan,1.48659245573506,Afghanistan,nan,0.23822620244533,Airtel,2015-05-21T19:31:33,76628
,Orange,+224403842850261,Guinea,0.687401611560626,Guinea,+224614846723804,4.31770575368639,Airtel,2015-05-06T20:09:22,76630
,Orange,+25623920733741,Uganda,3.79580220570119,Uganda,+256160745138089,0.847887769627131,Airtel,2016-09-14T03:31:36,76642
,MTS,+375528589108039,Belarus,0.957266339735921,Belarus,+375806108039042,1.75078943277067,MTS,2016-06-11T11:14:08,76644
,MTN Group,+268562880345166,Swaziland,0.142394685567341,Swaziland,+268581338954874,1.75705265091358,MTN Group,2015-11-04T09:42:42,76650
,Vodafone,+23380882941097,Ghana,0.786571504732284,Ghana,+233133951699196,0.467064633281146,Airtel,2016-08-03T21:11:23,76655
,Vodafone,+44731353665878,United Kingdom,0.668669493107672,United Kingdom,+44138870139958,1.12662367006477,Telefónica,2015-06-10T18:58:17,76656
,Vodafone,+61825218316131,Australia,0.672911424564257,Australia,+61223249433114,0.832244856316236,Vodafone,2015-05-12T02:52:02,76661
,América Móvil,+386736422471683,Slovenia,0.950126086425183,Slovenia,+386710489363693,0.775377203228064,América Móvil,2015-09-02T11:45:20,76669
,Etisalat,+93828492359451,Afghanistan,0.0639449394770309,Afghanistan,+93515217413328,0.116809770824207,Airtel,2016-01-04T04:02:54,76686
,América Móvil,+386128548818520,Slovenia,0.920376438691628,Slovenia,+386130031633011,0.232956960207626,América Móvil,2015-05-21T07:16:23,76690
,Vodafone,+353984519479237,Ireland,1.33648394818622,Ireland,+353836958716132,0.529546942335404,Vodafone,2015-05-20T08:23:08,76692
,Vodafone,+356814419690687,Malta,1.73765765061035,Malta,+356992000468266,0.372626742126055,Vodafone,2016-05-19T23:41:00,76707
,MTS,+375881515795236,Belarus,1.32105569009758,Belarus,+375927862144432,1.73876800317574,MTS,2016-11-15T21:19:26,76717
,Telia Company,+373492321883348,Moldova,1.98111070242321,Moldova,+373591819426342,0.460971717107849,Orange,2015-07-24T11:06:34,76727
,Airtel,+267658233193401,Botswana,0.771610649238748,Botswana,+267531147222057,2.96347061274912,Airtel,2015-06-25T12:44:55,76747
,Etisalat,+228221170670434,Togo,0.470306849081252,Togo,+228154494789110,0.167639509056435,Etisalat,2016-09-16T14:30:39,76748
x4287704,Airtel,+23717560361571,Cameroon,0.76804264458051,Cameroon,+237316867331903,1.43836808456952,Airtel,2015-01-04T00:41:20,76749
,Telia Company,+375703405476562,Belarus,0.0869799565020502,Belarus,+375309664716386,0.790294712203855,MTS,2016-04-12T09:52:51,76797
x9808201,Telefónica,+44851969313418,United Kingdom,0.284121676635572,United Kingdom,+44506159356400,0.164998987670389,Telefónica,2015-10-12T13:14:49,76815
,Veon,+996580224236951,Kyrgyzstan,0.235519234362149,Kyrgyzstan,+99667587753246,1.7655546692925,Veon,2015-03-05T00:20:52,76816
,Deutsche Telekom,+382527661187305,Montenegro,1.9904473600493,Montenegro,+38223739091055,3.88110954886057,Deutsche Telekom,2016-09-16T16:01:34,76838
,Vodafone,+31846931391029,Netherlands,0.748868909807799,Netherlands,+31804364511902,0.272262520797119,Vodafone,2015-09-21T05:40:07,76839
,Telefónica,+502220800080879,Guatemala,0.800565489861246,Guatemala,+50276882806839,0.157400484052066,América Móvil,2015-10-16T20:35:37,76840
,Vodafone,+61869712253917,Australia,0.737408337902812,Australia,+61224622009695,0.353769878897754,Vodafone,2015-10-29T06:00:47,76843
x3450599,Airtel,+261544074916281,Madagascar,3.53504379255642,Madagascar,+261876884823126,0.488049781051067,Airtel,2016-08-28T16:58:21,76848
,Deutsche Telekom,+38218556883063,Montenegro,0.310087007111874,Montenegro,+382356444870309,0.761437333441127,Deutsche Telekom,2016-02-17T06:18:43,76849
x23000,Veon,+3912748577820,Italy,0.34594724954082,Italy,+39754233270170,0.356751502504083,Veon,2016-11-08T20:17:47,76854
x973774,MTN Group,+24550990048717,Guinea-Bissau,0.285505756153191,Guinea-Bissau,+245644650340090,0.239367472304767,Airtel,2015-09-20T15:10:45,76862
,Etisalat,+24144355628195,Gabon,0.0389172599328511,Gabon,+241870947937858,1.68679018624849,Airtel,2016-11-29T02:20:21,76865
x9651252,Orange,+352891896945103,Luxembourg,1.86558004375255,Luxembourg,+352993458658762,0.68979757506218,Orange,2016-10-01T04:46:08,76888
,MTN Group,+231639677006747,Liberia,0.0292243837314193,Liberia,+231213860180731,0.264263972055921,Airtel,2015-09-11T22:38:40,76908
,Telefónica,+503461880587393,El Salvador,1.87229151924912,El Salvador,+503533210790564,1.79413214939671,América Móvil,2016-03-15T10:01:48,76912
,Deutsche Telekom,+4955489872005,Germany,4.30705853315441,Germany,+49827077979014,0.457717364825942,Vodafone,2016-06-11T14:31:16,76918
,TIM,+378482367828536,San Marino,2.37954700348622,San Marino,+378408780794915,0.587489049317496,TIM,2016-10-09T15:01:01,76919
,América Móvil,+595124214984702,Paraguay,0.250365735673236,Paraguay,+595682916997778,0.26977913908165,América Móvil,2015-03-09T09:10:41,76922
,Vodafone,+354878321327153,Iceland,0.502646000620866,Iceland,+35414246563677,0.373504553112027,Vodafone,2015-08-30T21:48:49,76928
,Deutsche Telekom,+389489000526424,Macedonia,1.70643452731901,Macedonia,+389178142433077,0.29598912939578,Deutsche Telekom,2016-06-07T13:31:35,76937
,Axiata,+977570377014782,Nepal,0.167437378270638,Nepal,+977597624965474,0.695982692812124,Axiata,2015-05-21T05:06:58,76957
,Airtel,+245707394203733,Guinea-Bissau,1.87966977802422,Guinea-Bissau,+245815535509830,1.23790877654881,Airtel,2015-02-22T08:05:39,76959
,Airtel,+242210824739027,Republic of the Congo,0.59042207206729,Republic of the Congo,+242621958174794,0.337720729094314,Airtel,2015-09-26T06:52:34,76984
,Veon,+76815114540864,Kazakhstan,0.563232204636241,Kazakhstan,+76625234351672,0.724185044020816,Veon,2016-08-23T17:54:47,76985
,MTN Group,+250384618930231,Rwanda,1.30824050027125,Rwanda,+250526592793057,0.787001369324775,MTN Group,2015-10-29T11:38:00,76990
,Telia Company,+994950339485891,Azerbaijan,0.187950753140314,Azerbaijan,+99413899214297,0.296503714350627,Telia Company,2016-03-18T04:12:26,77025
,Telenor,+46302276495415,Sweden,0.446063190660978,Sweden,+46373023727066,1.11073908271446,CK Hutchison,2016-08-24T19:37:17,77052
,Orange,+237807852579709,Cameroon,0.269746647105812,Cameroon,+237513391274661,0.526845541464921,Airtel,2015-07-06T07:06:31,77054
,Veon,+996758401950604,Kyrgyzstan,1.09166846877849,Kyrgyzstan,+996457971498708,5.54935587968373,Veon,2016-07-21T21:51:27,77073
,América Móvil,+386494230230096,Slovenia,1.91325421202624,Slovenia,+386933098893744,2.30229797153584,América Móvil,2015-01-25T19:43:51,77094
,Airtel,+265551345485241,Malawi,0.787799887570915,Malawi,+265132851202259,0.340583496307256,Airtel,2015-03-20T23:58:36,77121
,TIM,+3906698150843830356,Vatican City,0.0360323414155659,Vatican City,+3906698684117874562,0.645608800188495,TIM,2016-05-13T15:32:58,77170
,Vodafone,nan,Spain,0.755102936986355,Spain,+3488418301542,0.726892053974522,Vodafone,2016-06-12T18:16:20,77173
,MTN Group,+229986086466570,Benin,0.87553333783445,Benin,+229396655971046,1.0578216601942,Etisalat,2016-08-15T01:29:57,77178
,MTN Group,+260496669281657,Zambia,0.26929913601471,Zambia,+260607102304630,0.187792778035179,MTN Group,2015-11-19T00:57:10,77186
,América Móvil,+507293086517439,Panama,0.0411092712609841,Panama,+507933313769676,1.647947139079,Telefónica,2016-01-27T01:24:02,77204
,Axiata,+855278284077073,Cambodia,0.0180393550834178,Cambodia,+855606350614248,1.01388894646022,Axiata,2015-09-02T02:04:36,77207
